Food_ID,Name,C_Type,Veg_Non,Describe,combined_features
2577,Tofu Gravy,Chinese,Veg,tofu noodles spinach garlic onion pepper olive oil cumin,Tofu Gravy tofu noodles spinach garlic onion pepper olive oil cumin
2578,Lentils Gravy,American,Veg,lentils rice spinach peas garlic soy sauce pepper butter,Lentils Gravy lentils rice spinach peas garlic soy sauce pepper butter
2579,Fish Noodle bowl,American,Non-Veg,fish soup spinach tomato capsicum coriander butter chili,Fish Noodle bowl fish soup spinach tomato capsicum coriander butter chili
2580,Beans Biryani,Mexican,Veg,beans soup tomato spinach onion butter olive oil soy sauce,Beans Biryani beans soup tomato spinach onion butter olive oil soy sauce
2581,Potato Soup,Indian,Veg,potato pasta tomato ginger peas pepper butter cumin,Potato Soup potato pasta tomato ginger peas pepper butter cumin
2582,Mushroom Fried rice,Japanese,Veg,mushroom bread ginger onion carrot butter chili turmeric,Mushroom Fried rice mushroom bread ginger onion carrot butter chili turmeric
2583,Lentils Noodle bowl,Indian,Veg,lentils soup garlic spinach ginger soy sauce butter coriander,Lentils Noodle bowl lentils soup garlic spinach ginger soy sauce butter coriander
2584,Chicken Noodle bowl,Japanese,Non-Veg,chicken bread spinach garlic tomato chili turmeric cumin,Chicken Noodle bowl chicken bread spinach garlic tomato chili turmeric cumin
2585,Fish Noodle bowl,Mexican,Non-Veg,fish wrap spinach tomato carrot soy sauce pepper chili,Fish Noodle bowl fish wrap spinach tomato carrot soy sauce pepper chili
2586,Lentils Gravy,Chinese,Veg,lentils bread carrot onion tomato soy sauce turmeric cumin,Lentils Gravy lentils bread carrot onion tomato soy sauce turmeric cumin
2587,Mutton Masala,Indian,Non-Veg,mutton bread garlic capsicum peas olive oil soy sauce turmeric,Mutton Masala mutton bread garlic capsicum peas olive oil soy sauce turmeric
2588,Chicken Masala,Indian,Non-Veg,chicken noodles ginger tomato garlic salt turmeric coriander,Chicken Masala chicken noodles ginger tomato garlic salt turmeric coriander
2589,Tofu Biryani,Italian,Veg,tofu pasta tomato capsicum carrot turmeric coriander olive oil,Tofu Biryani tofu pasta tomato capsicum carrot turmeric coriander olive oil
2590,Fish Gravy,Japanese,Non-Veg,fish soup spinach tomato carrot turmeric olive oil butter,Fish Gravy fish soup spinach tomato carrot turmeric olive oil butter
2591,Prawn Stir fry,Mexican,Non-Veg,prawn pasta garlic peas tomato olive oil cumin soy sauce,Prawn Stir fry prawn pasta garlic peas tomato olive oil cumin soy sauce
2592,Chicken Biryani,Japanese,Non-Veg,chicken pasta spinach onion ginger chili cumin soy sauce,Chicken Biryani chicken pasta spinach onion ginger chili cumin soy sauce
2593,Egg Biryani,Thai,Non-Veg,egg pasta garlic spinach peas coriander chili turmeric,Egg Biryani egg pasta garlic spinach peas coriander chili turmeric
2594,Lentils Stir fry,Mediterranean,Veg,lentils noodles carrot spinach capsicum butter soy sauce turmeric,Lentils Stir fry lentils noodles carrot spinach capsicum butter soy sauce turmeric
2595,Fish Curry,Japanese,Non-Veg,fish wrap onion tomato garlic soy sauce butter olive oil,Fish Curry fish wrap onion tomato garlic soy sauce butter olive oil
2596,Lentils Soup,Chinese,Veg,lentils wrap spinach carrot garlic salt butter olive oil,Lentils Soup lentils wrap spinach carrot garlic salt butter olive oil
2597,Mushroom Fried rice,Indian,Veg,mushroom noodles peas capsicum ginger butter salt turmeric,Mushroom Fried rice mushroom noodles peas capsicum ginger butter salt turmeric
2598,Potato Biryani,Mexican,Veg,potato pasta carrot capsicum tomato chili butter pepper,Potato Biryani potato pasta carrot capsicum tomato chili butter pepper
2599,Fish Soup,Chinese,Non-Veg,fish salad spinach garlic peas turmeric chili pepper,Fish Soup fish salad spinach garlic peas turmeric chili pepper
2600,Mutton Soup,American,Non-Veg,mutton pasta carrot onion spinach soy sauce pepper salt,Mutton Soup mutton pasta carrot onion spinach soy sauce pepper salt
2601,Chicken Masala,Japanese,Non-Veg,chicken rice carrot garlic capsicum olive oil coriander cumin,Chicken Masala chicken rice carrot garlic capsicum olive oil coriander cumin
2602,Egg Gravy,Chinese,Non-Veg,egg pasta garlic spinach onion coriander olive oil pepper,Egg Gravy egg pasta garlic spinach onion coriander olive oil pepper
2603,Prawn Masala,Italian,Non-Veg,prawn wrap capsicum carrot garlic soy sauce butter cumin,Prawn Masala prawn wrap capsicum carrot garlic soy sauce butter cumin
2604,Potato Curry,Mexican,Veg,potato bread spinach carrot tomato cumin chili butter,Potato Curry potato bread spinach carrot tomato cumin chili butter
2605,Mutton Noodle bowl,Mediterranean,Non-Veg,mutton rice capsicum onion ginger soy sauce chili coriander,Mutton Noodle bowl mutton rice capsicum onion ginger soy sauce chili coriander
2606,Prawn Biryani,Chinese,Non-Veg,prawn noodles garlic carrot onion soy sauce turmeric olive oil,Prawn Biryani prawn noodles garlic carrot onion soy sauce turmeric olive oil
2607,Paneer Noodle bowl,Indian,Veg,paneer noodles carrot ginger capsicum butter soy sauce cumin,Paneer Noodle bowl paneer noodles carrot ginger capsicum butter soy sauce cumin
2608,Fish Noodle bowl,Japanese,Non-Veg,fish wrap spinach garlic onion soy sauce cumin olive oil,Fish Noodle bowl fish wrap spinach garlic onion soy sauce cumin olive oil
2609,Potato Stir fry,Mediterranean,Veg,potato noodles carrot ginger capsicum turmeric coriander soy sauce,Potato Stir fry potato noodles carrot ginger capsicum turmeric coriander soy sauce
2610,Prawn Masala,Chinese,Non-Veg,prawn wrap ginger peas garlic coriander chili butter,Prawn Masala prawn wrap ginger peas garlic coriander chili butter
2611,Chicken Fried rice,Mediterranean,Non-Veg,chicken pasta tomato carrot spinach butter pepper cumin,Chicken Fried rice chicken pasta tomato carrot spinach butter pepper cumin
2612,Tofu Pasta bowl,Italian,Veg,tofu wrap capsicum garlic onion chili cumin butter,Tofu Pasta bowl tofu wrap capsicum garlic onion chili cumin butter
2613,Egg Pasta bowl,Italian,Non-Veg,egg noodles onion carrot ginger cumin chili turmeric,Egg Pasta bowl egg noodles onion carrot ginger cumin chili turmeric
2614,Chicken Fried rice,Indian,Non-Veg,chicken bread peas ginger capsicum coriander turmeric chili,Chicken Fried rice chicken bread peas ginger capsicum coriander turmeric chili
2615,Mushroom Stir fry,Italian,Veg,mushroom noodles carrot tomato spinach olive oil salt coriander,Mushroom Stir fry mushroom noodles carrot tomato spinach olive oil salt coriander
2616,Mutton Masala,American,Non-Veg,mutton wrap tomato carrot peas pepper soy sauce butter,Mutton Masala mutton wrap tomato carrot peas pepper soy sauce butter
2617,Mushroom Biryani,Chinese,Veg,mushroom salad capsicum tomato peas coriander turmeric chili,Mushroom Biryani mushroom salad capsicum tomato peas coriander turmeric chili
2618,Mutton Gravy,Thai,Non-Veg,mutton salad onion garlic carrot pepper salt turmeric,Mutton Gravy mutton salad onion garlic carrot pepper salt turmeric
2619,Mutton Soup,Thai,Non-Veg,mutton noodles onion spinach tomato coriander chili turmeric,Mutton Soup mutton noodles onion spinach tomato coriander chili turmeric
2620,Chickpeas Noodle bowl,Italian,Veg,chickpeas bread onion tomato carrot butter cumin pepper,Chickpeas Noodle bowl chickpeas bread onion tomato carrot butter cumin pepper
2621,Beans Curry,Mediterranean,Veg,beans bread ginger tomato carrot cumin butter coriander,Beans Curry beans bread ginger tomato carrot cumin butter coriander
2622,Lentils Stir fry,Thai,Veg,lentils bread ginger onion spinach butter cumin soy sauce,Lentils Stir fry lentils bread ginger onion spinach butter cumin soy sauce
2623,Paneer Noodle bowl,Thai,Veg,paneer soup tomato garlic ginger pepper chili salt,Paneer Noodle bowl paneer soup tomato garlic ginger pepper chili salt
2624,Paneer Masala,American,Veg,paneer noodles tomato onion carrot soy sauce pepper olive oil,Paneer Masala paneer noodles tomato onion carrot soy sauce pepper olive oil
2625,Fish Pasta bowl,Indian,Non-Veg,fish noodles ginger carrot spinach butter coriander chili,Fish Pasta bowl fish noodles ginger carrot spinach butter coriander chili
2626,Chickpeas Curry,Indian,Veg,chickpeas pasta ginger onion carrot soy sauce cumin olive oil,Chickpeas Curry chickpeas pasta ginger onion carrot soy sauce cumin olive oil
2627,Paneer Fried rice,Thai,Veg,paneer noodles garlic peas capsicum coriander cumin chili,Paneer Fried rice paneer noodles garlic peas capsicum coriander cumin chili
2628,Tofu Gravy,Mexican,Veg,tofu bread capsicum garlic ginger salt pepper turmeric,Tofu Gravy tofu bread capsicum garlic ginger salt pepper turmeric
2629,Mushroom Pasta bowl,Indian,Veg,mushroom salad ginger onion garlic pepper chili cumin,Mushroom Pasta bowl mushroom salad ginger onion garlic pepper chili cumin
2630,Mushroom Curry,Indian,Veg,mushroom rice spinach carrot garlic turmeric coriander chili,Mushroom Curry mushroom rice spinach carrot garlic turmeric coriander chili
2631,Chicken Biryani,Indian,Non-Veg,chicken wrap spinach peas garlic soy sauce cumin chili,Chicken Biryani chicken wrap spinach peas garlic soy sauce cumin chili
2632,Beans Noodle bowl,Chinese,Veg,beans pasta ginger garlic capsicum olive oil chili salt,Beans Noodle bowl beans pasta ginger garlic capsicum olive oil chili salt
2633,Tofu Curry,Japanese,Veg,tofu wrap ginger peas garlic chili turmeric coriander,Tofu Curry tofu wrap ginger peas garlic chili turmeric coriander
2634,Mutton Noodle bowl,Chinese,Non-Veg,mutton bread peas carrot spinach chili soy sauce coriander,Mutton Noodle bowl mutton bread peas carrot spinach chili soy sauce coriander
2635,Mutton Curry,Chinese,Non-Veg,mutton salad garlic peas onion pepper cumin turmeric,Mutton Curry mutton salad garlic peas onion pepper cumin turmeric
2636,Lentils Fried rice,Italian,Veg,lentils wrap ginger tomato capsicum butter chili soy sauce,Lentils Fried rice lentils wrap ginger tomato capsicum butter chili soy sauce
2637,Beans Soup,Thai,Veg,beans wrap ginger onion garlic salt soy sauce olive oil,Beans Soup beans wrap ginger onion garlic salt soy sauce olive oil
2638,Beans Pasta bowl,Japanese,Veg,beans wrap garlic peas capsicum chili coriander soy sauce,Beans Pasta bowl beans wrap garlic peas capsicum chili coriander soy sauce
2639,Fish Noodle bowl,Italian,Non-Veg,fish bread garlic peas spinach butter salt coriander,Fish Noodle bowl fish bread garlic peas spinach butter salt coriander
2640,Chicken Stir fry,Indian,Non-Veg,chicken wrap onion carrot capsicum chili butter olive oil,Chicken Stir fry chicken wrap onion carrot capsicum chili butter olive oil
2641,Chickpeas Fried rice,Mediterranean,Veg,chickpeas pasta ginger carrot garlic soy sauce olive oil turmeric,Chickpeas Fried rice chickpeas pasta ginger carrot garlic soy sauce olive oil turmeric
2642,Chickpeas Curry,Indian,Veg,chickpeas pasta onion ginger capsicum cumin pepper chili,Chickpeas Curry chickpeas pasta onion ginger capsicum cumin pepper chili
2643,Fish Gravy,Mexican,Non-Veg,fish salad onion spinach capsicum butter coriander olive oil,Fish Gravy fish salad onion spinach capsicum butter coriander olive oil
2644,Egg Noodle bowl,Mediterranean,Non-Veg,egg noodles ginger spinach carrot butter coriander cumin,Egg Noodle bowl egg noodles ginger spinach carrot butter coriander cumin
2645,Egg Pasta bowl,Mexican,Non-Veg,egg noodles carrot spinach peas cumin coriander pepper,Egg Pasta bowl egg noodles carrot spinach peas cumin coriander pepper
2646,Chickpeas Noodle bowl,Italian,Veg,chickpeas bread tomato onion garlic pepper turmeric butter,Chickpeas Noodle bowl chickpeas bread tomato onion garlic pepper turmeric butter
2647,Paneer Fried rice,American,Veg,paneer bread onion ginger capsicum coriander olive oil soy sauce,Paneer Fried rice paneer bread onion ginger capsicum coriander olive oil soy sauce
2648,Prawn Pasta bowl,Indian,Non-Veg,prawn salad garlic carrot peas turmeric butter olive oil,Prawn Pasta bowl prawn salad garlic carrot peas turmeric butter olive oil
2649,Chicken Noodle bowl,Thai,Non-Veg,chicken wrap capsicum onion carrot turmeric soy sauce chili,Chicken Noodle bowl chicken wrap capsicum onion carrot turmeric soy sauce chili
2650,Prawn Fried rice,Thai,Non-Veg,prawn salad spinach tomato ginger coriander soy sauce turmeric,Prawn Fried rice prawn salad spinach tomato ginger coriander soy sauce turmeric
2651,Paneer Fried rice,Mexican,Veg,paneer noodles spinach capsicum onion soy sauce chili pepper,Paneer Fried rice paneer noodles spinach capsicum onion soy sauce chili pepper
2652,Mutton Noodle bowl,Mediterranean,Non-Veg,mutton bread ginger peas carrot butter turmeric soy sauce,Mutton Noodle bowl mutton bread ginger peas carrot butter turmeric soy sauce
2653,Lentils Pasta bowl,Italian,Veg,lentils soup ginger spinach tomato salt pepper chili,Lentils Pasta bowl lentils soup ginger spinach tomato salt pepper chili
2654,Mushroom Pasta bowl,Indian,Veg,mushroom salad garlic onion spinach cumin chili olive oil,Mushroom Pasta bowl mushroom salad garlic onion spinach cumin chili olive oil
2655,Fish Curry,Indian,Non-Veg,fish pasta capsicum tomato spinach pepper turmeric cumin,Fish Curry fish pasta capsicum tomato spinach pepper turmeric cumin
2656,Mutton Noodle bowl,Chinese,Non-Veg,mutton pasta capsicum spinach tomato soy sauce pepper coriander,Mutton Noodle bowl mutton pasta capsicum spinach tomato soy sauce pepper coriander
2657,Tofu Noodle bowl,Chinese,Veg,tofu pasta spinach ginger garlic turmeric pepper cumin,Tofu Noodle bowl tofu pasta spinach ginger garlic turmeric pepper cumin
2658,Potato Biryani,Indian,Veg,potato salad onion garlic tomato butter pepper cumin,Potato Biryani potato salad onion garlic tomato butter pepper cumin
2659,Beans Pasta bowl,Indian,Veg,beans rice spinach tomato capsicum salt chili coriander,Beans Pasta bowl beans rice spinach tomato capsicum salt chili coriander
2660,Mutton Pasta bowl,Chinese,Non-Veg,mutton bread onion ginger tomato coriander salt butter,Mutton Pasta bowl mutton bread onion ginger tomato coriander salt butter
2661,Fish Masala,American,Non-Veg,fish pasta capsicum onion garlic pepper salt chili,Fish Masala fish pasta capsicum onion garlic pepper salt chili
2662,Prawn Curry,Japanese,Non-Veg,prawn pasta garlic tomato onion olive oil butter chili,Prawn Curry prawn pasta garlic tomato onion olive oil butter chili
2663,Prawn Fried rice,American,Non-Veg,prawn bread carrot garlic capsicum chili coriander salt,Prawn Fried rice prawn bread carrot garlic capsicum chili coriander salt
2664,Paneer Fried rice,Mexican,Veg,paneer pasta garlic tomato peas salt cumin soy sauce,Paneer Fried rice paneer pasta garlic tomato peas salt cumin soy sauce
2665,Chicken Curry,Chinese,Non-Veg,chicken noodles carrot onion spinach cumin turmeric coriander,Chicken Curry chicken noodles carrot onion spinach cumin turmeric coriander
2666,Mutton Noodle bowl,Indian,Non-Veg,mutton noodles tomato ginger spinach olive oil cumin butter,Mutton Noodle bowl mutton noodles tomato ginger spinach olive oil cumin butter
2667,Tofu Fried rice,Japanese,Veg,tofu salad capsicum peas spinach salt turmeric pepper,Tofu Fried rice tofu salad capsicum peas spinach salt turmeric pepper
2668,Mushroom Pasta bowl,Thai,Veg,mushroom salad spinach peas garlic butter salt olive oil,Mushroom Pasta bowl mushroom salad spinach peas garlic butter salt olive oil
2669,Paneer Noodle bowl,Mexican,Veg,paneer wrap ginger garlic peas cumin chili soy sauce,Paneer Noodle bowl paneer wrap ginger garlic peas cumin chili soy sauce
2670,Mushroom Stir fry,Thai,Veg,mushroom rice peas carrot tomato olive oil salt turmeric,Mushroom Stir fry mushroom rice peas carrot tomato olive oil salt turmeric
2671,Potato Masala,Chinese,Veg,potato rice garlic ginger peas olive oil chili turmeric,Potato Masala potato rice garlic ginger peas olive oil chili turmeric
2672,Potato Noodle bowl,American,Veg,potato wrap tomato capsicum garlic chili olive oil salt,Potato Noodle bowl potato wrap tomato capsicum garlic chili olive oil salt
2673,Mutton Noodle bowl,Italian,Non-Veg,mutton rice ginger carrot spinach soy sauce chili butter,Mutton Noodle bowl mutton rice ginger carrot spinach soy sauce chili butter
2674,Egg Biryani,Thai,Non-Veg,egg soup peas onion capsicum pepper cumin butter,Egg Biryani egg soup peas onion capsicum pepper cumin butter
2675,Potato Stir fry,Mexican,Veg,potato bread spinach onion tomato olive oil coriander butter,Potato Stir fry potato bread spinach onion tomato olive oil coriander butter
2676,Egg Pasta bowl,Italian,Non-Veg,egg salad capsicum garlic tomato cumin salt coriander,Egg Pasta bowl egg salad capsicum garlic tomato cumin salt coriander
2677,Fish Noodle bowl,Mediterranean,Non-Veg,fish noodles tomato peas spinach cumin chili soy sauce,Fish Noodle bowl fish noodles tomato peas spinach cumin chili soy sauce
2678,Chicken Fried rice,Thai,Non-Veg,chicken wrap spinach tomato onion chili salt olive oil,Chicken Fried rice chicken wrap spinach tomato onion chili salt olive oil
2679,Lentils Pasta bowl,Mexican,Veg,lentils bread ginger capsicum onion coriander olive oil pepper,Lentils Pasta bowl lentils bread ginger capsicum onion coriander olive oil pepper
2680,Potato Gravy,Italian,Veg,potato noodles peas carrot onion olive oil turmeric chili,Potato Gravy potato noodles peas carrot onion olive oil turmeric chili
2681,Beans Stir fry,Italian,Veg,beans bread spinach tomato capsicum soy sauce olive oil turmeric,Beans Stir fry beans bread spinach tomato capsicum soy sauce olive oil turmeric
2682,Potato Soup,Italian,Veg,potato soup spinach carrot onion coriander salt pepper,Potato Soup potato soup spinach carrot onion coriander salt pepper
2683,Egg Fried rice,American,Non-Veg,egg soup ginger garlic spinach coriander cumin butter,Egg Fried rice egg soup ginger garlic spinach coriander cumin butter
2684,Paneer Masala,American,Veg,paneer salad peas capsicum carrot chili butter pepper,Paneer Masala paneer salad peas capsicum carrot chili butter pepper
2685,Lentils Biryani,Chinese,Veg,lentils salad tomato carrot peas chili cumin butter,Lentils Biryani lentils salad tomato carrot peas chili cumin butter
2686,Prawn Soup,Mexican,Non-Veg,prawn pasta spinach peas tomato soy sauce salt pepper,Prawn Soup prawn pasta spinach peas tomato soy sauce salt pepper
2687,Chicken Stir fry,Italian,Non-Veg,chicken soup ginger capsicum tomato soy sauce butter cumin,Chicken Stir fry chicken soup ginger capsicum tomato soy sauce butter cumin
2688,Paneer Stir fry,Japanese,Veg,paneer noodles garlic capsicum spinach salt chili pepper,Paneer Stir fry paneer noodles garlic capsicum spinach salt chili pepper
2689,Fish Gravy,Thai,Non-Veg,fish pasta ginger garlic onion salt olive oil butter,Fish Gravy fish pasta ginger garlic onion salt olive oil butter
2690,Fish Gravy,Japanese,Non-Veg,fish noodles ginger onion garlic butter soy sauce pepper,Fish Gravy fish noodles ginger onion garlic butter soy sauce pepper
2691,Mutton Stir fry,American,Non-Veg,mutton wrap garlic peas tomato soy sauce olive oil butter,Mutton Stir fry mutton wrap garlic peas tomato soy sauce olive oil butter
2692,Fish Masala,Italian,Non-Veg,fish salad garlic carrot spinach soy sauce chili pepper,Fish Masala fish salad garlic carrot spinach soy sauce chili pepper
2693,Egg Noodle bowl,American,Non-Veg,egg noodles ginger onion capsicum turmeric olive oil chili,Egg Noodle bowl egg noodles ginger onion capsicum turmeric olive oil chili
2694,Prawn Biryani,Japanese,Non-Veg,prawn wrap ginger tomato garlic olive oil coriander chili,Prawn Biryani prawn wrap ginger tomato garlic olive oil coriander chili
2695,Chicken Stir fry,Mexican,Non-Veg,chicken noodles ginger carrot onion soy sauce pepper coriander,Chicken Stir fry chicken noodles ginger carrot onion soy sauce pepper coriander
2696,Mushroom Biryani,American,Veg,mushroom pasta peas garlic tomato pepper butter salt,Mushroom Biryani mushroom pasta peas garlic tomato pepper butter salt
2697,Paneer Masala,Thai,Veg,paneer pasta onion ginger peas turmeric pepper cumin,Paneer Masala paneer pasta onion ginger peas turmeric pepper cumin
2698,Mushroom Biryani,Japanese,Veg,mushroom bread garlic spinach peas turmeric salt pepper,Mushroom Biryani mushroom bread garlic spinach peas turmeric salt pepper
2699,Prawn Pasta bowl,Japanese,Non-Veg,prawn wrap onion peas ginger pepper turmeric butter,Prawn Pasta bowl prawn wrap onion peas ginger pepper turmeric butter
2700,Chicken Noodle bowl,Mediterranean,Non-Veg,chicken rice garlic capsicum carrot chili butter cumin,Chicken Noodle bowl chicken rice garlic capsicum carrot chili butter cumin
2701,Tofu Noodle bowl,Thai,Veg,tofu wrap garlic ginger peas soy sauce cumin turmeric,Tofu Noodle bowl tofu wrap garlic ginger peas soy sauce cumin turmeric
2702,Beans Biryani,Mexican,Veg,beans noodles onion garlic tomato salt butter pepper,Beans Biryani beans noodles onion garlic tomato salt butter pepper
2703,Potato Soup,Indian,Veg,potato bread ginger capsicum spinach butter pepper cumin,Potato Soup potato bread ginger capsicum spinach butter pepper cumin
2704,Prawn Curry,American,Non-Veg,prawn rice capsicum onion peas butter turmeric pepper,Prawn Curry prawn rice capsicum onion peas butter turmeric pepper
2705,Prawn Curry,Japanese,Non-Veg,prawn noodles garlic onion tomato olive oil soy sauce coriander,Prawn Curry prawn noodles garlic onion tomato olive oil soy sauce coriander
2706,Fish Stir fry,American,Non-Veg,fish soup carrot ginger spinach cumin coriander salt,Fish Stir fry fish soup carrot ginger spinach cumin coriander salt
2707,Mutton Curry,Italian,Non-Veg,mutton pasta capsicum garlic carrot olive oil butter chili,Mutton Curry mutton pasta capsicum garlic carrot olive oil butter chili
2708,Prawn Soup,Italian,Non-Veg,prawn salad spinach garlic capsicum coriander chili turmeric,Prawn Soup prawn salad spinach garlic capsicum coriander chili turmeric
2709,Mushroom Fried rice,Mexican,Veg,mushroom noodles ginger carrot tomato salt soy sauce pepper,Mushroom Fried rice mushroom noodles ginger carrot tomato salt soy sauce pepper
2710,Chickpeas Soup,Mexican,Veg,chickpeas pasta garlic carrot spinach soy sauce coriander cumin,Chickpeas Soup chickpeas pasta garlic carrot spinach soy sauce coriander cumin
2711,Potato Curry,Italian,Veg,potato wrap onion spinach garlic chili pepper turmeric,Potato Curry potato wrap onion spinach garlic chili pepper turmeric
2712,Paneer Biryani,Japanese,Veg,paneer rice ginger onion peas turmeric coriander butter,Paneer Biryani paneer rice ginger onion peas turmeric coriander butter
2713,Egg Gravy,Mexican,Non-Veg,egg salad carrot peas spinach soy sauce salt cumin,Egg Gravy egg salad carrot peas spinach soy sauce salt cumin
2714,Mushroom Masala,Chinese,Veg,mushroom wrap tomato onion ginger chili butter salt,Mushroom Masala mushroom wrap tomato onion ginger chili butter salt
2715,Egg Gravy,Chinese,Non-Veg,egg wrap capsicum garlic ginger chili salt cumin,Egg Gravy egg wrap capsicum garlic ginger chili salt cumin
2716,Mutton Soup,Mediterranean,Non-Veg,mutton bread ginger tomato garlic pepper butter turmeric,Mutton Soup mutton bread ginger tomato garlic pepper butter turmeric
2717,Prawn Pasta bowl,Italian,Non-Veg,prawn salad onion peas spinach soy sauce coriander turmeric,Prawn Pasta bowl prawn salad onion peas spinach soy sauce coriander turmeric
2718,Mutton Stir fry,Mediterranean,Non-Veg,mutton pasta garlic onion spinach pepper cumin salt,Mutton Stir fry mutton pasta garlic onion spinach pepper cumin salt
2719,Paneer Biryani,American,Veg,paneer wrap ginger garlic carrot turmeric soy sauce cumin,Paneer Biryani paneer wrap ginger garlic carrot turmeric soy sauce cumin
2720,Paneer Gravy,Chinese,Veg,paneer noodles capsicum garlic tomato chili pepper butter,Paneer Gravy paneer noodles capsicum garlic tomato chili pepper butter
2721,Chicken Pasta bowl,Italian,Non-Veg,chicken wrap onion garlic capsicum chili coriander salt,Chicken Pasta bowl chicken wrap onion garlic capsicum chili coriander salt
2722,Prawn Curry,Indian,Non-Veg,prawn soup onion ginger tomato butter salt coriander,Prawn Curry prawn soup onion ginger tomato butter salt coriander
2723,Paneer Fried rice,Thai,Veg,paneer salad ginger onion spinach salt olive oil turmeric,Paneer Fried rice paneer salad ginger onion spinach salt olive oil turmeric
2724,Lentils Soup,Thai,Veg,lentils rice capsicum onion ginger salt olive oil soy sauce,Lentils Soup lentils rice capsicum onion ginger salt olive oil soy sauce
2725,Fish Noodle bowl,Mexican,Non-Veg,fish rice garlic capsicum ginger turmeric butter coriander,Fish Noodle bowl fish rice garlic capsicum ginger turmeric butter coriander
2726,Paneer Masala,Italian,Veg,paneer soup ginger carrot peas coriander butter cumin,Paneer Masala paneer soup ginger carrot peas coriander butter cumin
2727,Mushroom Noodle bowl,Mediterranean,Veg,mushroom noodles capsicum ginger tomato pepper turmeric coriander,Mushroom Noodle bowl mushroom noodles capsicum ginger tomato pepper turmeric coriander
2728,Mushroom Gravy,Thai,Veg,mushroom noodles tomato peas ginger pepper chili coriander,Mushroom Gravy mushroom noodles tomato peas ginger pepper chili coriander
2729,Lentils Pasta bowl,Chinese,Veg,lentils soup onion ginger spinach soy sauce coriander salt,Lentils Pasta bowl lentils soup onion ginger spinach soy sauce coriander salt
2730,Mushroom Biryani,Indian,Veg,mushroom noodles onion ginger capsicum soy sauce salt olive oil,Mushroom Biryani mushroom noodles onion ginger capsicum soy sauce salt olive oil
2731,Mutton Masala,Mexican,Non-Veg,mutton wrap carrot peas onion pepper olive oil soy sauce,Mutton Masala mutton wrap carrot peas onion pepper olive oil soy sauce
2732,Mushroom Curry,Chinese,Veg,mushroom salad carrot capsicum onion soy sauce olive oil salt,Mushroom Curry mushroom salad carrot capsicum onion soy sauce olive oil salt
2733,Potato Noodle bowl,American,Veg,potato wrap capsicum ginger spinach olive oil coriander turmeric,Potato Noodle bowl potato wrap capsicum ginger spinach olive oil coriander turmeric
2734,Chicken Fried rice,Italian,Non-Veg,chicken pasta ginger capsicum garlic chili salt olive oil,Chicken Fried rice chicken pasta ginger capsicum garlic chili salt olive oil
2735,Prawn Noodle bowl,Mediterranean,Non-Veg,prawn soup onion ginger tomato soy sauce pepper chili,Prawn Noodle bowl prawn soup onion ginger tomato soy sauce pepper chili
2736,Chicken Noodle bowl,Thai,Non-Veg,chicken noodles spinach capsicum tomato chili cumin turmeric,Chicken Noodle bowl chicken noodles spinach capsicum tomato chili cumin turmeric
2737,Mutton Pasta bowl,Mexican,Non-Veg,mutton pasta tomato capsicum ginger cumin soy sauce coriander,Mutton Pasta bowl mutton pasta tomato capsicum ginger cumin soy sauce coriander
2738,Beans Fried rice,Indian,Veg,beans bread carrot ginger capsicum coriander salt cumin,Beans Fried rice beans bread carrot ginger capsicum coriander salt cumin
2739,Chicken Curry,Mexican,Non-Veg,chicken salad carrot ginger onion turmeric soy sauce butter,Chicken Curry chicken salad carrot ginger onion turmeric soy sauce butter
2740,Egg Biryani,Indian,Non-Veg,egg soup ginger peas spinach salt cumin olive oil,Egg Biryani egg soup ginger peas spinach salt cumin olive oil
2741,Beans Gravy,Mexican,Veg,beans salad spinach capsicum onion coriander pepper cumin,Beans Gravy beans salad spinach capsicum onion coriander pepper cumin
2742,Egg Gravy,Italian,Non-Veg,egg pasta tomato ginger onion butter salt cumin,Egg Gravy egg pasta tomato ginger onion butter salt cumin
2743,Potato Masala,Thai,Veg,potato wrap spinach garlic onion turmeric olive oil cumin,Potato Masala potato wrap spinach garlic onion turmeric olive oil cumin
2744,Chickpeas Soup,Chinese,Veg,chickpeas wrap spinach capsicum garlic soy sauce cumin butter,Chickpeas Soup chickpeas wrap spinach capsicum garlic soy sauce cumin butter
2745,Tofu Stir fry,Italian,Veg,tofu salad carrot garlic peas chili olive oil coriander,Tofu Stir fry tofu salad carrot garlic peas chili olive oil coriander
2746,Egg Stir fry,Mediterranean,Non-Veg,egg bread garlic peas tomato salt chili pepper,Egg Stir fry egg bread garlic peas tomato salt chili pepper
2747,Mutton Gravy,Mexican,Non-Veg,mutton salad capsicum peas garlic chili coriander salt,Mutton Gravy mutton salad capsicum peas garlic chili coriander salt
2748,Chickpeas Soup,Indian,Veg,chickpeas noodles carrot ginger tomato salt cumin soy sauce,Chickpeas Soup chickpeas noodles carrot ginger tomato salt cumin soy sauce
2749,Paneer Soup,Mexican,Veg,paneer salad peas onion tomato turmeric chili cumin,Paneer Soup paneer salad peas onion tomato turmeric chili cumin
2750,Chicken Curry,Chinese,Non-Veg,chicken rice spinach onion capsicum chili turmeric salt,Chicken Curry chicken rice spinach onion capsicum chili turmeric salt
